time	V(n002)	V(n003)
0.000000000000000e+00	1.711905e+00	6.500000e+00
3.808593750000144e-05	1.690682e+00	6.547787e+00
8.886718750000799e-05	1.661936e+00	6.610748e+00
1.904296875000072e-04	1.604538e+00	6.730269e+00
3.104296875000023e-04	1.540814e+00	6.851709e+00
4.304296874999974e-04	1.486855e+00	6.941400e+00
5.504296874999925e-04	1.447603e+00	6.991244e+00
6.345097903620450e-04	1.430793e+00	6.999857e+00
6.779843990053491e-04	1.425909e+00	6.995574e+00
7.486771756185784e-04	1.423727e+00	6.976039e+00
8.626405232724094e-04	1.435155e+00	6.913441e+00
9.826405232724045e-04	1.466052e+00	6.811256e+00
1.102640523272400e-03	1.513560e+00	6.680973e+00
1.222640523272395e-03	1.573396e+00	6.534354e+00
1.342640523272390e-03	1.640157e+00	6.384634e+00
1.462640523272385e-03	1.707817e+00	6.245327e+00
1.582640523272380e-03	1.770270e+00	6.129011e+00
1.702640523272375e-03	1.821876e+00	6.046184e+00
1.822640523272370e-03	1.857978e+00	6.004323e+00
1.892944085098547e-03	1.870602e+00	6.000508e+00
1.941714864833174e-03	1.875316e+00	6.007012e+00
2.020936910914178e-03	1.875722e+00	6.033257e+00
2.140936910914173e-03	1.859478e+00	6.107584e+00
2.260936910914169e-03	1.824351e+00	6.217336e+00
2.380936910914164e-03	1.773500e+00	6.352604e+00
2.500936910914159e-03	1.711513e+00	6.501177e+00
2.620936910914154e-03	1.643985e+00	6.649644e+00
2.740936910914149e-03	1.577011e+00	6.784603e+00
2.860936910914144e-03	1.516636e+00	6.893870e+00
2.980936910914139e-03	1.468312e+00	6.967583e+00
3.100936910914134e-03	1.436399e+00	6.999086e+00
3.153546980953811e-03	1.428342e+00	6.998713e+00
3.208968193805284e-03	1.424081e+00	6.988907e+00
3.298836227974555e-03	1.426517e+00	6.953034e+00
3.418836227974550e-03	1.447340e+00	6.869742e+00
3.538836227974546e-03	1.486461e+00	6.753074e+00
3.658836227974541e-03	1.540354e+00	6.613560e+00
3.778836227974536e-03	1.604155e+00	6.463795e+00
3.898836227974531e-03	1.672106e+00	6.317298e+00
4.018836227974526e-03	1.738072e+00	6.187294e+00
4.138836227974521e-03	1.796099e+00	6.085518e+00
4.258836227974516e-03	1.840948e+00	6.021158e+00
4.368291627654786e-03	1.866932e+00	6.000071e+00
4.410006422621474e-03	1.872628e+00	6.001934e+00
4.469473241605751e-03	1.876478e+00	6.014028e+00
4.565776356185727e-03	1.871984e+00	6.056381e+00
4.685776356185722e-03	1.848425e+00	6.144918e+00
4.805776356185718e-03	1.806970e+00	6.265509e+00
4.925776356185713e-03	1.751358e+00	6.407268e+00
5.045776356185708e-03	1.686607e+00	6.557397e+00
5.165776356185703e-03	1.618563e+00	6.702346e+00
5.285776356185698e-03	1.553367e+00	6.829028e+00
5.405776356185693e-03	1.496906e+00	6.926009e+00
5.525776356185688e-03	1.454276e+00	6.984533e+00
5.624976236050280e-03	1.432225e+00	7.000000e+00
5.662491167380240e-03	1.427346e+00	6.997782e+00
5.723512720635163e-03	1.423684e+00	6.984753e+00
5.822279633576732e-03	1.429033e+00	6.939790e+00
5.942279633576728e-03	1.453633e+00	6.849281e+00
6.062279633576723e-03	1.495964e+00	6.727242e+00
6.182279633576718e-03	1.552210e+00	6.584690e+00
6.302279633576713e-03	1.617294e+00	6.434492e+00
6.422279633576708e-03	1.685341e+00	6.290208e+00
6.542279633576703e-03	1.750209e+00	6.164863e+00
6.662279633576698e-03	1.806042e+00	6.069770e+00
6.782279633576693e-03	1.847800e+00	6.013515e+00
6.877511716924120e-03	1.868411e+00	6.000010e+00
6.916589864730052e-03	1.873311e+00	6.002729e+00
6.980173988332325e-03	1.876636e+00	6.017366e+00
7.082989894277719e-03	1.869803e+00	6.066772e+00
7.202989894277714e-03	1.843506e+00	6.160475e+00
7.322989894277709e-03	1.799756e+00	6.284828e+00
7.442989894277705e-03	1.742500e+00	6.428604e+00
7.562989894277700e-03	1.676905e+00	6.578825e+00
7.682989894277695e-03	1.608892e+00	6.721931e+00
7.802989894277690e-03	1.544601e+00	6.845003e+00
7.922989894277685e-03	1.489835e+00	6.936931e+00
8.042989894277680e-03	1.449539e+00	6.989417e+00
8.131654290888246e-03	1.431208e+00	6.999930e+00
8.173335110264024e-03	1.426303e+00	6.996315e+00
8.241130314972270e-03	1.423617e+00	6.978854e+00
8.350565582264435e-03	1.433089e+00	6.921782e+00
8.470565582264430e-03	1.462131e+00	6.822986e+00
8.590565582264426e-03	1.508139e+00	6.695033e+00
8.710565582264421e-03	1.566963e+00	6.549474e+00
