time	V(n002)	V(n003)
0.000000000000000e+00	7.657866e-01	8.557248e+00
1.338588169642857e-02	6.783068e-01	8.791084e+00
2.677176339285714e-02	6.013736e-01	9.005358e+00
4.015764508928571e-02	5.349867e-01	9.200070e+00
5.354352678571428e-02	4.791464e-01	9.375220e+00
6.692940848214285e-02	4.338526e-01	9.530808e+00
8.031529017857142e-02	3.991052e-01	9.666834e+00
9.370117187499996e-02	3.749042e-01	9.783298e+00
1.035644531250000e-01	3.649055e-01	9.852084e+00
1.134277343750000e-01	3.610851e-01	9.908000e+00
1.232910156249999e-01	3.634425e-01	9.950830e+00
1.331542968749999e-01	3.719410e-01	9.980412e+00
1.430175781249999e-01	3.865331e-01	9.996633e+00
1.528808593749999e-01	4.071364e-01	9.999427e+00
1.627441406250000e-01	4.336571e-01	9.988786e+00
1.726074218750000e-01	4.659682e-01	9.964749e+00
1.824707031250000e-01	5.039312e-01	9.927410e+00
1.923339843750000e-01	5.473762e-01	9.876912e+00
2.021972656250000e-01	5.961223e-01	9.813449e+00
2.120605468750001e-01	6.499593e-01	9.737265e+00
2.219238281250001e-01	7.086664e-01	9.648650e+00
2.317871093750001e-01	7.719965e-01	9.547947e+00
2.515136718750002e-01	9.114739e-01	9.311866e+00
2.613769531250002e-01	9.870511e-01	9.177394e+00
2.712402343750002e-01	1.066114e+00	9.032642e+00
2.811035156250002e-01	1.148347e+00	8.878167e+00
2.909667968750003e-01	1.233413e+00	8.714561e+00
3.008300781250003e-01	1.320974e+00	8.542453e+00
3.106933593750003e-01	1.410676e+00	8.362502e+00
3.205566406250003e-01	1.502161e+00	8.175401e+00
3.304199218750004e-01	1.595060e+00	7.981867e+00
3.402832031250004e-01	1.689004e+00	7.782643e+00
3.473284040178575e-01	1.756882e+00	7.636544e+00
3.543736049107147e-01	1.824620e+00	7.488951e+00
3.614188058035719e-01	1.892218e+00	7.339861e+00
3.684640066964290e-01	1.959675e+00	7.189277e+00
3.755092075892862e-01	2.026991e+00	7.037198e+00
3.825544084821433e-01	2.094167e+00	6.883623e+00
3.895996093750005e-01	2.161203e+00	6.728554e+00
3.994628906250005e-01	2.253503e+00	6.511812e+00
4.093261718750005e-01	2.344222e+00	6.295024e+00
4.191894531250006e-01	2.433000e+00	6.079023e+00
4.290527343750006e-01	2.519483e+00	5.864639e+00
4.389160156250006e-01	2.603328e+00	5.652695e+00
4.487792968750006e-01	2.684198e+00	5.444003e+00
4.586425781250006e-01	2.761774e+00	5.239366e+00
4.685058593750007e-01	2.835743e+00	5.039568e+00
4.783691406250007e-01	2.905813e+00	4.845378e+00
4.882324218750007e-01	2.971700e+00	4.657541e+00
4.980957031250007e-01	3.033143e+00	4.476778e+00
5.079589843750008e-01	3.089893e+00	4.303782e+00
5.178222656250008e-01	3.141723e+00	4.139219e+00
5.276855468750008e-01	3.188422e+00	3.983720e+00
5.375488281250008e-01	3.229801e+00	3.837882e+00
5.474121093750008e-01	3.265691e+00	3.702265e+00
5.572753906250009e-01	3.295944e+00	3.577389e+00
5.671386718750009e-01	3.320434e+00	3.463734e+00
5.770019531250009e-01	3.339058e+00	3.361737e+00
5.868652343750009e-01	3.351733e+00	3.271789e+00
5.967285156250010e-01	3.358403e+00	3.194236e+00
