Freq.	V(n002)
1.00000000000000e-01	(-4.05047891866951e+00dB,-1.09453025658628e+02°)
1.00057581198936e-01	(-4.04603353850329e+00dB,-1.09463385622286e+02°)
1.00115195553817e-01	(-4.04158872629286e+00dB,-1.09473750227249e+02°)
1.00172843083734e-01	(-4.03714448254711e+00dB,-1.09484119474241e+02°)
1.00230523807790e-01	(-4.03270080777525e+00dB,-1.09494493363983e+02°)
1.00288237745098e-01	(-4.02825770248680e+00dB,-1.09504871897193e+02°)
1.00345984914784e-01	(-4.02381516719157e+00dB,-1.09515255074588e+02°)
1.00403765335982e-01	(-4.01937320239969e+00dB,-1.09525642896883e+02°)
1.00461579027839e-01	(-4.01493180862160e+00dB,-1.09536035364789e+02°)
1.00519426009514e-01	(-4.01049098636804e+00dB,-1.09546432479018e+02°)
1.00577306300174e-01	(-4.00605073615004e+00dB,-1.09556834240277e+02°)
1.00635219918999e-01	(-4.00161105847898e+00dB,-1.09567240649273e+02°)
1.00693166885180e-01	(-3.99717195386649e+00dB,-1.09577651706710e+02°)
1.00751147217920e-01	(-3.99273342282456e+00dB,-1.09588067413288e+02°)
1.00809160936430e-01	(-3.98829546586544e+00dB,-1.09598487769709e+02°)
1.00867208059934e-01	(-3.98385808350172e+00dB,-1.09608912776669e+02°)
1.00925288607668e-01	(-3.97942127624627e+00dB,-1.09619342434863e+02°)
1.00983402598878e-01	(-3.97498504461228e+00dB,-1.09629776744985e+02°)
1.01041550052821e-01	(-3.97054938911326e+00dB,-1.09640215707727e+02°)
1.01099730988765e-01	(-3.96611431026298e+00dB,-1.09650659323776e+02°)
1.01157945425990e-01	(-3.96167980857555e+00dB,-1.09661107593820e+02°)
1.01216193383785e-01	(-3.95724588456539e+00dB,-1.09671560518542e+02°)
1.01274474881453e-01	(-3.95281253874719e+00dB,-1.09682018098626e+02°)
1.01332789938306e-01	(-3.94837977163598e+00dB,-1.09692480334752e+02°)
1.01391138573668e-01	(-3.94394758374709e+00dB,-1.09702947227597e+02°)
1.01449520806874e-01	(-3.93951597559612e+00dB,-1.09713418777838e+02°)
1.01507936657269e-01	(-3.93508494769901e+00dB,-1.09723894986148e+02°)
1.01566386144212e-01	(-3.93065450057199e+00dB,-1.09734375853198e+02°)
1.01624869287069e-01	(-3.92622463473161e+00dB,-1.09744861379658e+02°)
1.01683386105222e-01	(-3.92179535069470e+00dB,-1.09755351566195e+02°)
1.01741936618060e-01	(-3.91736664897839e+00dB,-1.09765846413474e+02°)
1.01800520844986e-01	(-3.91293853010015e+00dB,-1.09776345922157e+02°)
1.01859138805412e-01	(-3.90851099457772e+00dB,-1.09786850092905e+02°)
1.01917790518762e-01	(-3.90408404292914e+00dB,-1.09797358926376e+02°)
1.01976476004472e-01	(-3.89965767567279e+00dB,-1.09807872423226e+02°)
1.02035195281988e-01	(-3.89523189332732e+00dB,-1.09818390584109e+02°)
1.02093948370768e-01	(-3.89080669641169e+00dB,-1.09828913409677e+02°)
1.02152735290281e-01	(-3.88638208544516e+00dB,-1.09839440900578e+02°)
1.02211556060007e-01	(-3.88195806094730e+00dB,-1.09849973057460e+02°)
1.02270410699438e-01	(-3.87753462343798e+00dB,-1.09860509880969e+02°)
1.02329299228075e-01	(-3.87311177343737e+00dB,-1.09871051371746e+02°)
1.02388221665434e-01	(-3.86868951146593e+00dB,-1.09881597530432e+02°)
1.02447178031038e-01	(-3.86426783804446e+00dB,-1.09892148357665e+02°)
1.02506168344424e-01	(-3.85984675369402e+00dB,-1.09902703854081e+02°)
1.02565192625141e-01	(-3.85542625893598e+00dB,-1.09913264020313e+02°)
1.02624250892745e-01	(-3.85100635429202e+00dB,-1.09923828856994e+02°)
1.02683343166808e-01	(-3.84658704028414e+00dB,-1.09934398364753e+02°)
1.02742469466912e-01	(-3.84216831743460e+00dB,-1.09944972544215e+02°)
1.02801629812647e-01	(-3.83775018626599e+00dB,-1.09955551396007e+02°)
1.02860824223619e-01	(-3.83333264730119e+00dB,-1.09966134920749e+02°)
1.02920052719443e-01	(-3.82891570106338e+00dB,-1.09976723119063e+02°)
1.02979315319744e-01	(-3.82449934807603e+00dB,-1.09987315991566e+02°)
1.03038612044161e-01	(-3.82008358886294e+00dB,-1.09997913538874e+02°)
1.03097942912344e-01	(-3.81566842394820e+00dB,-1.10008515761600e+02°)
1.03157307943951e-01	(-3.81125385385618e+00dB,-1.10019122660354e+02°)
1.03216707158655e-01	(-3.80683987911155e+00dB,-1.10029734235746e+02°)
1.03276140576140e-01	(-3.80242650023931e+00dB,-1.10040350488382e+02°)
1.03335608216098e-01	(-3.79801371776473e+00dB,-1.10050971418866e+02°)
1.03395110098237e-01	(-3.79360153221339e+00dB,-1.10061597027800e+02°)
1.03454646242273e-01	(-3.78918994411117e+00dB,-1.10072227315783e+02°)
1.03514216667934e-01	(-3.78477895398426e+00dB,-1.10082862283412e+02°)
1.03573821394961e-01	(-3.78036856235911e+00dB,-1.10093501931282e+02°)
1.03633460443104e-01	(-3.77595876976252e+00dB,-1.10104146259986e+02°)
1.03693133832126e-01	(-3.77154957672155e+00dB,-1.10114795270114e+02°)
1.03752841581801e-01	(-3.76714098376357e+00dB,-1.10125448962254e+02°)
1.03812583711914e-01	(-3.76273299141625e+00dB,-1.10136107336991e+02°)
1.03872360242262e-01	(-3.75832560020755e+00dB,-1.10146770394909e+02°)
1.03932171192653e-01	(-3.75391881066575e+00dB,-1.10157438136588e+02°)
1.03992016582906e-01	(-3.74951262331939e+00dB,-1.10168110562607e+02°)
1.04051896432852e-01	(-3.74510703869736e+00dB,-1.10178787673542e+02°)
1.04111810762334e-01	(-3.74070205732878e+00dB,-1.10189469469967e+02°)
1.04171759591205e-01	(-3.73629767974312e+00dB,-1.10200155952453e+02°)
1.04231742939330e-01	(-3.73189390647013e+00dB,-1.10210847121570e+02°)
1.04291760826587e-01	(-3.72749073803984e+00dB,-1.10221542977885e+02°)
1.04351813272862e-01	(-3.72308817498261e+00dB,-1.10232243521961e+02°)
1.04411900298056e-01	(-3.71868621782907e+00dB,-1.10242948754361e+02°)
1.04472021922080e-01	(-3.71428486711016e+00dB,-1.10253658675644e+02°)
1.04532178164855e-01	(-3.70988412335710e+00dB,-1.10264373286369e+02°)
1.04592369046317e-01	(-3.70548398710142e+00dB,-1.10275092587089e+02°)
1.04652594586409e-01	(-3.70108445887494e+00dB,-1.10285816578357e+02°)
1.04712854805090e-01	(-3.69668553920977e+00dB,-1.10296545260724e+02°)
1.04773149722327e-01	(-3.69228722863832e+00dB,-1.10307278634737e+02°)
1.04833479358100e-01	(-3.68788952769331e+00dB,-1.10318016700942e+02°)
1.04893843732401e-01	(-3.68349243690772e+00dB,-1.10328759459881e+02°)
1.04954242865232e-01	(-3.67909595681486e+00dB,-1.10339506912095e+02°)
1.05014676776608e-01	(-3.67470008794831e+00dB,-1.10350259058123e+02°)
1.05075145486555e-01	(-3.67030483084195e+00dB,-1.10361015898500e+02°)
1.05135649015110e-01	(-3.66591018602997e+00dB,-1.10371777433759e+02°)
1.05196187382322e-01	(-3.66151615404682e+00dB,-1.10382543664432e+02°)
1.05256760608252e-01	(-3.65712273542728e+00dB,-1.10393314591047e+02°)
1.05317368712971e-01	(-3.65272993070640e+00dB,-1.10404090214130e+02°)
1.05378011716564e-01	(-3.64833774041953e+00dB,-1.10414870534204e+02°)
1.05438689639126e-01	(-3.64394616510231e+00dB,-1.10425655551792e+02°)
1.05499402500762e-01	(-3.63955520529068e+00dB,-1.10436445267412e+02°)
1.05560150321593e-01	(-3.63516486152087e+00dB,-1.10447239681580e+02°)
1.05620933121746e-01	(-3.63077513432939e+00dB,-1.10458038794810e+02°)
1.05681750921365e-01	(-3.62638602425305e+00dB,-1.10468842607613e+02°)
1.05742603740603e-01	(-3.62199753182896e+00dB,-1.10479651120500e+02°)
1.05803491599623e-01	(-3.61760965759452e+00dB,-1.10490464333976e+02°)
1.05864414518602e-01	(-3.61322240208741e+00dB,-1.10501282248545e+02°)
1.05925372517728e-01	(-3.60883576584561e+00dB,-1.10512104864709e+02°)
1.05986365617202e-01	(-3.60444974940739e+00dB,-1.10522932182968e+02°)
1.06047393837233e-01	(-3.60006435331131e+00dB,-1.10533764203818e+02°)
1.06108457198045e-01	(-3.59567957809622e+00dB,-1.10544600927754e+02°)
1.06169555719872e-01	(-3.59129542430125e+00dB,-1.10555442355266e+02°)
1.06230689422961e-01	(-3.58691189246585e+00dB,-1.10566288486845e+02°)
1.06291858327568e-01	(-3.58252898312972e+00dB,-1.10577139322978e+02°)
1.06353062453965e-01	(-3.57814669683289e+00dB,-1.10587994864148e+02°)
1.06414301822431e-01	(-3.57376503411565e+00dB,-1.10598855110838e+02°)
1.06475576453260e-01	(-3.56938399551859e+00dB,-1.10609720063527e+02°)
1.06536886366756e-01	(-3.56500358158259e+00dB,-1.10620589722692e+02°)
1.06598231583235e-01	(-3.56062379284881e+00dB,-1.10631464088807e+02°)
1.06659612123025e-01	(-3.55624462985872e+00dB,-1.10642343162345e+02°)
1.06721028006466e-01	(-3.55186609315406e+00dB,-1.10653226943774e+02°)
1.06782479253909e-01	(-3.54748818327685e+00dB,-1.10664115433561e+02°)
1.06843965885717e-01	(-3.54311090076942e+00dB,-1.10675008632171e+02°)
1.06905487922265e-01	(-3.53873424617439e+00dB,-1.10685906540066e+02°)
1.06967045383939e-01	(-3.53435822003464e+00dB,-1.10696809157704e+02°)
1.07028638291138e-01	(-3.52998282289336e+00dB,-1.10707716485543e+02°)
1.07090266664271e-01	(-3.52560805529401e+00dB,-1.10718628524037e+02°)
1.07151930523760e-01	(-3.52123391778037e+00dB,-1.10729545273637e+02°)
1.07213629890039e-01	(-3.51686041089647e+00dB,-1.10740466734793e+02°)
1.07275364783552e-01	(-3.51248753518664e+00dB,-1.10751392907952e+02°)
1.07337135224758e-01	(-3.50811529119550e+00dB,-1.10762323793557e+02°)
1.07398941234124e-01	(-3.50374367946794e+00dB,-1.10773259392050e+02°)
1.07460782832131e-01	(-3.49937270054917e+00dB,-1.10784199703870e+02°)
1.07522660039272e-01	(-3.49500235498465e+00dB,-1.10795144729453e+02°)
